date,value
2014-07-15,0.0125
2014-07-16,0.0118
2014-07-17,0.0132
2014-07-18,0.0113
2014-07-21,0.0109
2014-07-22,0.0101
2014-07-23,0.0085
2014-07-24,0.0069
2014-07-25,0.007
2014-07-28,0.0066
2014-07-29,0.0067
2014-07-30,0.0074
2014-07-31,0.0071
2014-08-01,0.0102
2014-08-04,0.0088
2014-08-05,0.0083
2014-08-06,0.0123
2014-08-07,0.016
2014-08-08,0.0194
2014-08-11,0.0194
2014-08-12,0.0175
2014-08-13,0.0174
2014-08-14,0.0146
2014-08-15,0.0154
2014-08-18,0.0155
2014-08-19,0.0124
2014-08-20,0.011
2014-08-21,0.011
2014-08-22,0.0112
2014-08-25,0.0104
2014-08-26,0.0082
2014-08-27,0.0085
2014-08-28,0.0082
2014-08-29,0.0093
2014-09-02,0.0197
2014-09-03,0.0162
2014-09-04,0.0238
