date,avg_sentiment,text_count,sentiment_volatility,sentiment_zscore,predicted_regime,vix_regime,vix_value,correct
2008-11-06,-0.09596826218498442,26,0.14856643647450601,1.1318004762135827,normal,high_volatility,63.68000030517578,False
2008-11-07,-0.1064590964323053,26,0.08778446144475133,0.8938913680343641,normal,high_volatility,56.099998474121094,False
2008-11-08,-0.16878374762833118,25,0.030853743879525188,0.35074022345639216,normal,unknown,,False
2008-11-09,-0.08032447520643472,25,0.03607028067851626,1.068681042932341,normal,unknown,,False
2008-11-10,-0.19011101509945896,26,0.048175586217399556,0.05954353341458138,elevated,high_volatility,59.97999954223633,False
2008-11-11,-0.1978942112495693,26,0.0524352095048518,-0.07556198129050555,normal,high_volatility,61.439998626708984,False
2008-11-12,-0.2576688318504641,26,0.06424650283380774,-0.5963191412217239,elevated,high_volatility,66.45999908447266,False
2008-11-13,-0.30248360192540186,26,0.08380154238919878,-0.9795793591097132,elevated,high_volatility,59.83000183105469,False
2008-11-14,-0.2399742664192649,26,0.045962013712251754,-0.31774574922994253,normal,high_volatility,66.30999755859375,False
2008-11-15,-0.09240606762468814,25,0.07964296222498442,1.0160860541971188,normal,unknown,,False
2008-11-16,-0.16913919884711504,25,0.08245405060339255,0.13227677384832692,normal,unknown,,False
2008-11-17,-0.23220321002344674,26,0.07969400985272433,-0.8675486602454131,normal,high_volatility,69.1500015258789,False
2008-11-18,-0.1608280013856419,25,0.06015473467081942,0.19544392333176755,normal,high_volatility,67.63999938964844,False
2008-11-19,-0.020559204636514637,26,0.08091966638128291,1.83555055442904,low_volatility,high_volatility,74.26000213623047,False
2008-11-20,-0.15736864005870757,26,0.07750891841317492,0.16180087138731086,elevated,high_volatility,80.86000061035156,False
2008-11-21,-0.2546041461704312,26,0.09149302924438428,-0.9622366148550809,elevated,high_volatility,72.66999816894531,False
2008-11-22,-0.07772228803485631,25,0.0892285768695327,1.1725362316972339,normal,unknown,,False
2008-11-23,-0.15533017072826624,25,0.08885173759514328,0.3067162917955023,normal,unknown,,False
2008-11-24,-0.30971143269394674,26,0.091341560795763,-1.4317541885656795,high_volatility,high_volatility,64.69999694824219,True
2008-11-25,-0.1960226239365966,26,0.08940431558766383,-0.09917688035414342,normal,high_volatility,60.900001525878906,False
2008-11-26,-0.1695076319960878,26,0.08403487713532425,0.14205183871681598,normal,high_volatility,54.91999816894531,False
2008-11-27,-0.22087456461042165,25,0.06099999319194791,-0.5956259047985214,normal,unknown,,False
2008-11-28,-0.14721282224099225,26,0.06290658613705216,0.29107597243784594,normal,high_volatility,55.279998779296875,False
2008-11-29,-0.23281595136970282,25,0.035423803982222966,-0.7435059688934327,normal,unknown,,False
